scientificName,records,scientificNameID
Arenaria_interpres,252,
Branta_canadensis,252,
Branta_leucopsis,252,
Bubo_scandiaca,252,
Charadrius_hiaticula,252,
Chen_caerulescens,252,
Gavia_stellata,252,
Lagopus_lagopus,252,
Martes_martes,252,
Salvelinus_malma,252,
"Sylvia atricapilla atricapilla (Linnaeus, 1758)",252,
Aega,251,
Phylum Ctenophora - undifferentiated,250,
Rhizoplaca aspidophora,249,
"Vulpes vulpes crucigera (Bechstein, 1789)",249,
Ctenophora,248,
Habibacysta tectata,247,
"Turdus philomelos philomelos Brehm, 1831",247,
Turborotalia inflata,246,
Unidentified - 1511,246,urn:lsid:marinespecies.org:taxname:
Micronephtys sphaerocirrata,245,
Quenquecuspis concretum,245,
"Dasymys incomtus (Sundevall, 1847)",244,
Haptophyceae,244,urn:lsid:itis.gov:itis_tsn:2136
"Anthus pratensis pratensis (Linnaeus, 1758)",243,
Cossosphaerales,243,
Melosira nummuloides,243,
Neogloboquadrina pseudopima,243,
"Rhinoclavis echinatum Lamarck, 1822",243,
Sterechinus_neumayeri,243,
Amphinomidae newgenus sp 1,242,
Arichlidon hannelorae,242,
Ceratocephale haplopoda n sp,242,
Ceratonereis australis,242,
Fabriciinae sp 1,242,
Fabriciinae sp 2,242,
Hyalinaecia sp,242,
Litocorsa arafurensis,242,
Litocorsa mackiei,242,
Litocorsa wilsoni,242,
Micronephtys maryae,242,
Onuphiches sp 5,242,
Paraeyrythoe sp 1,242,
Parapidonotus ampuliferus,242,
Pilargid new genus,242,
Pista violaceae,242,
Prionospio cf queenslandica australensis,242,
Scalibregma cf inflectum,242,
Sigambra gibbsi,242,
Syllidea sp 13,242,
Laminaria,241,
Batiacasphaera sphaerica,239,
Caedibacter,239,
"Cyanistes caeruleus caeruleus  (Linnaeus, 1758)",239,
Ovalipes australis,239,
"Passer montanus montanus (Linnaeus, 1758)",239,
Rhizosolenia hebetata,239,
Artedidraconid larva,238,http://www.marinespecies.org/aphia.php?p=taxdetails&id=234581
Didemnum candidum lutarium,238,
Globorotalia cultrata cultrata,238,
Hypoglossum hypoglossoides,238,
Infraorder Anomura - undifferentiated,238,
Amphipod,237,http://www.marinespecies.org/aphia.php?p=taxdetails&id=1135
Catapsydrax dissimilis dissimilis,237,
Globigerinoides primordius,237,
Gyroidinoides acutus,236,
Oithona decipiens/similis,236,http://www.marinespecies.org/aphia.php?p=taxdetails&id=106485
Acentropus niveus,235,
Gyroidinoides cibaoensis,235,
Cyanophycota,234,
Globorotalia cultrata menardii,234,
Globorotalia hirsuta dextralis,234,
"Ploceus nigerrimus Vieillot, 1819",234,
Orbulina universa universa,233,
Order cyclopoida,233,
Orthogastropoda,233,
Batoidii,232,
Lagenammina difflugiformis arenulata,232,
UNID FISH AND INVERTEBRATES,232,urn:lsid:marinespecies.org:taxname:
Conchoecia subinflata,231,
Dalella chathamensis,231,
Chaetoceros concavicorne,230,
Alvania pelagica,227,NA|urn:lsid:itis.gov: itis_tsn:70823
"Muscicapa striata striata (Pallas, 1764)",227,
Globigerinelloides aspera,226,
"Andropadus latirostris latirostris Strickland, 1844",225,
Entotheonella,225,
Leptocephalidae,225,
Phacoides filosus,225,
Polypedilum pullum,225,
Limnadopsis parvispinus,223,
"Micromys minutus soricinus (Herman, 1780)",222,
Bulimina marginata forma aculeata,220,
"Motacilla alba alba Linnaeus, 1758",220,
Nonion havanensis,220,
Caloplaca regalis,219,
"Aegithalos caudatus europaeus (Hermann, 1804)",218,
Coelotanypus,218,urn:lsid:itis.gov: itis_tsn:128010
Paralepidae,218,urn:lsid:itis.gov:itis_tsn:644668|NA
Impletosphaeridium spp.,217,
Rickettsia,217,
Rotatoria,215,
Bryozoan (Cyphonaute larvae),214,http://www.marinespecies.org/aphia.php?p=taxdetails&id=146142
Calliurichthys afilum,214,
Epistominella pusilla,214,
Globigerinoides trilobus fistulosus,214,
Sphaeroidinellopsis subdehiscens subdehiscens,213,
Chaetoceros (Phaeoceros) atlanticus,212,http://www.marinespecies.org/aphia.php?p=taxdetails&id=149288
Globigerinella siphonifera siphonifera,211,
Gonyaulax spinifera,211,
"Phoenicurus phoenicurus phoenicurus (Linnaeus, 1758)",211,
"Prunella modularis modularis (Linnaeus, 1758)",211,
Globorotalia margaritae margaritae,210,
