scientificname,scientificnameid,records,phylum,class,order,family,genus,annotation_type,annotation_aphiaid,datasets
Nematocentris loriae,,1,,,,Melanotaeniidae,Nematocentris,,,5db2ffe4-8764-4647-9271-467192832793
Nematocentris multisquamata,,1,,,,Melanotaeniidae,Nematocentris,,,5db2ffe4-8764-4647-9271-467192832793
Nematocentris patoti,,1,,,,Melanotaeniidae,Nematocentris,,,5db2ffe4-8764-4647-9271-467192832793
Nematocentris praecox,,1,,,,Melanotaeniidae,Nematocentris,,,5db2ffe4-8764-4647-9271-467192832793
Nematocentris rosacea,,1,,,,Melanotaeniidae,Nematocentris,,,5db2ffe4-8764-4647-9271-467192832793
"Myiagra rubecula rubecula  (Latham, 1801)",,1,"Chordata Bateson, 1885",Aves,Passeriformes,Corvidae,"Myiagra Horsfield & Vigors, 1827",,,e9acab50-8203-4c1e-b2e7-cbb850670808
"Myiagra rubecula concinna  Gould, 1848",,1,"Chordata Bateson, 1885",Aves,Passeriformes,Corvidae,"Myiagra Horsfield & Vigors, 1827",,,e9acab50-8203-4c1e-b2e7-cbb850670808
Nematogobius acutipennis,,1,,,,,,,,8a1ae661-e911-4967-bc06-1168fc5f2d89
Nematoma kinkasanensis,,1,,,,,,,,89e23fc8-3f61-4480-9de3-358fe6eefe0b
Nematonereis kauderni,,1,,,,,,,,a4257cff-3c2c-4a60-ab29-91f65545bb08
"Myiagra galeata  Gray, GR, 1861",,1,"Chordata Bateson, 1885",Aves,Passeriformes,Corvidae,"Myiagra Horsfield & Vigors, 1827",,,e9acab50-8203-4c1e-b2e7-cbb850670808
Myctophum obtusirostris,urn:lsid:itis.gov:itis_tsn:162722,1,,,,,,,,04e3fd32-b08b-4806-a016-d2dff52ae55a
Myctophum diaphus aeolochrus brd,,1,,,,,,,,8a1ae661-e911-4967-bc06-1168fc5f2d89
Myctophum cuvieri,,1,,,,,,,,705770e5-3474-4e69-be8b-3107a0c5610a
Nembrotha kubyarana,,1,,,,,,,,d0d2a510-ba24-487b-80ca-afc86922cb1c
Myctophum caninianus,,1,,,,,,,,705770e5-3474-4e69-be8b-3107a0c5610a
Nemerteim sp,,1,,,,,,,,7e5277ae-fca3-455c-b2aa-4a0c4f4a7a2e
Mycillina sp.,,1,,,,,,,,cdcddae2-a8e0-4c86-9e8d-f85134876937
Mycida,,1,,,,,,,,56e55f76-6dda-403d-805b-f8922fa1766d
"Tyto rosenbergii (Schlegel, 1866)",,1,"Chordata Bateson, 1885",Aves,Strigiformes,Tytonidae,"Tyto Billberg, 1828",,,e9acab50-8203-4c1e-b2e7-cbb850670808
Nemipterus taeniopterus,,1,,,,,Nemipterus,,,0620ae56-5e20-412e-afd9-77acfa5a663a
Nemipterus upenoides,,1,,,,,Nemipterus,,,0620ae56-5e20-412e-afd9-77acfa5a663a
Neoamphitrite johnstoni,,1,,,,,,,,41a50544-957c-4193-8bbf-25a25f749e85
Neoarcturus biserialis,,1,,,,,,,,89e23fc8-3f61-4480-9de3-358fe6eefe0b
Neocallichirus limosa,,1,Arthropoda,Crustacea,Decapoda,Callianassidae,Neocallichirus,,,97bdf279-6f78-4ed7-ad9d-27a5886f8ff2
Neocardium thetidis,,1,,,,Cardiidae,,,,81903d9a-f9f2-4bee-ab8c-07609b308e6b
Neochelidon tibialis,,1,Chordata,Aves,Passeriformes,Hirundinidae,Neochelidon,,,29271d9a-c768-4928-accc-7d61a52185d7
"Neochelidon  tibialis minima Chapman, 1924",,1,"Chordata Bateson, 1885",Aves,Passeriformes,Hirundinidae,"Neochelidon Sclater, 1862",,,e9acab50-8203-4c1e-b2e7-cbb850670808
"Neochmia phaeton (Hombron & Jacquinot, 1841)",,1,"Chordata Bateson, 1885",Aves,Passeriformes,Passeridae,"Neochmia G.R. Gray, 1849",,,e9acab50-8203-4c1e-b2e7-cbb850670808
"Neochmia ruficauda (Gould, 1837)",,1,"Chordata Bateson, 1885",Aves,Passeriformes,Passeridae,"Neochmia G.R. Gray, 1849",,,e9acab50-8203-4c1e-b2e7-cbb850670808
"Neochmia temporalis (Latham, 1801)",,1,"Chordata Bateson, 1885",Aves,Passeriformes,Passeridae,"Neochmia G.R. Gray, 1849",,,e9acab50-8203-4c1e-b2e7-cbb850670808
Mycaliidae,,1,,,,,,,,49f74e10-b23b-4aca-a0f2-62b4f1109dd3
Neoconorbina parkerae,,1,,,,,,,,38535a43-2982-4479-88c1-8303f7ee8665
Neocorbina terquemi,,1,,,,,,,,b58d5ca0-1af8-48b3-993d-6c89742bb0d2
"Neocossyphus rufus rufus (Fischer & Reichenow, 1884)",,1,"Chordata Bateson, 1885",Aves,Passeriformes,"Turdidae Rafinesque, 1815","Neocossyphus Fischer & Reichenow, 1884",,,e9acab50-8203-4c1e-b2e7-cbb850670808
Neocrangon zacae,,1,,,,,,,,41a50544-957c-4193-8bbf-25a25f749e85
"Neocrania altivertex zezina, 1990",,1,,,,,,,,fa9bc19f-f98a-4278-ab99-c6d8ef4966c7
Neocrania lecointei,,1,,,,,,,,e1ca35fd-bbc4-4da9-a27c-fea1502a4a30
"Neocrania pourtalesi (dall, 1871)",,1,,,,,,,,fa9bc19f-f98a-4278-ab99-c6d8ef4966c7
Mycale jasionae,,1,,,,,,,,89e23fc8-3f61-4480-9de3-358fe6eefe0b
Neocyclotus vesconesi Jousseaume,,1,Mollusca,"Gastropoda Cuvier, 1797","Mesogastropoda Thiele, 1925","Poteriidae Thiele, 1929","Neocyclotus Crosse & Fischer, 1866",,,f68aab55-9261-49fa-8bf9-e6fe6fa7661b
Neocyrena exquisita,,1,,,,,,,,89e23fc8-3f61-4480-9de3-358fe6eefe0b
"Tyto tenebricosa tenebricosa (Gould, 1845)",,1,"Chordata Bateson, 1885",Aves,Strigiformes,Tytonidae,"Tyto Billberg, 1828",,,e9acab50-8203-4c1e-b2e7-cbb850670808
Neocythereis subspiralis,,1,,,,,,,,b58d5ca0-1af8-48b3-993d-6c89742bb0d2
Neocytheromorpha reticulata,,1,,,,,,,,47963083-c127-4cd6-a435-23353b44be94
Mycale garvelyi,,1,,,,,,,,d0d2a510-ba24-487b-80ca-afc86922cb1c
Neodaniotes spicata,,1,,,,,,,,89e23fc8-3f61-4480-9de3-358fe6eefe0b
Neoglessula paritavea (Gould),,1,Mollusca,"Gastropoda Cuvier, 1797",Stylommatophora,"Subulinidae P. Fischer & Crosse, 1877","Neoglessula Pilsbry, 1919",,,f68aab55-9261-49fa-8bf9-e6fe6fa7661b
Myadestes townsendi,,1,Chordata,Aves,Passeriformes,Turdidae,Myadestes,,,8e5ebdf7-05f1-4d0d-b9d0-84bf1575926e
"Myadestes occidentalis Stejneger, 1882",,1,"Chordata Bateson, 1885",Aves,Passeriformes,"Turdidae Rafinesque, 1815","Myadestes Swainson, 1838",,,e9acab50-8203-4c1e-b2e7-cbb850670808
Uca,,1,Arthropoda,Malacostraca,Decapoda,Ocypodidae,Uca,,,4a595d2a-3c4e-48a3-aca0-8bf64aa368ad
"Myadestes genibarbis solitarius S.F. Baird, 1866",,1,"Chordata Bateson, 1885",Aves,Passeriformes,"Turdidae Rafinesque, 1815","Myadestes Swainson, 1838",,,e9acab50-8203-4c1e-b2e7-cbb850670808
Neogloboquadrina humerosa dutertrei,,1,,,,,,,,38535a43-2982-4479-88c1-8303f7ee8665
Muticaria oscitans Ferussac,,1,Mollusca,"Gastropoda Cuvier, 1797",Stylommatophora,"Clausiliidae Draparnaud, 1805","Muticaria Lindholm, 1925",,,f68aab55-9261-49fa-8bf9-e6fe6fa7661b
Uca annulipes albimana,,1,,,,,,,,d0d2a510-ba24-487b-80ca-afc86922cb1c
"Mustela nudipes Desmarest, 1822",,1,"Chordata Bateson, 1885","Mammalia Linnaeus, 1758",Carnivora Bowdich,Mustelidae Fischer von Waldheim,"Mustela Linnaeus, 1758",,,94733b9b-61d0-40c3-8577-440dd4cb2c41
Neogloboquadrina pachyderma pachyderma,,1,,,,,,,,38535a43-2982-4479-88c1-8303f7ee8665
"Mustela altaica altaica Pallas, 1811",,1,"Chordata Bateson, 1885","Mammalia Linnaeus, 1758",Carnivora Bowdich,Mustelidae Fischer von Waldheim,"Mustela Linnaeus, 1758",,,94733b9b-61d0-40c3-8577-440dd4cb2c41
Mussa symphyllia annectens,,1,,,,,,,,c380d2c9-98b3-48cf-af6c-56a88b81f1a4
Neogloboquadrina siakensis,,1,,,,,,,,38535a43-2982-4479-88c1-8303f7ee8665
Neolepton nitidum Turton,,1,Mollusca,"Bivalvia Linnaeus, 1758","Veneroida Adams H. & Adams A., 1856","Neoleptonidae Thiele, 1934",Neolepton Finley,,,f68aab55-9261-49fa-8bf9-e6fe6fa7661b
"Neolestes torquatus Cabanis, 1875",,1,"Chordata Bateson, 1885",Aves,Passeriformes,Pycnonotidae,"Neolestes Cabanis, 1875",,,e9acab50-8203-4c1e-b2e7-cbb850670808
Mussa harttii confertifolia,,1,,,,,,,,c380d2c9-98b3-48cf-af6c-56a88b81f1a4
Neometra spinossima,,1,,,,,,,,d0d2a510-ba24-487b-80ca-afc86922cb1c
Neomonoceratina jaini,,1,,,,,,,,47963083-c127-4cd6-a435-23353b44be94
"Neomorphus geoffroyi aequatorialis Chapman, 1923",,1,"Chordata Bateson, 1885",Aves,Cuculiformes,Cuculidae,"Neomorphus Gloger, 1827",,,e9acab50-8203-4c1e-b2e7-cbb850670808
Neomphalius euryomphalus Jonas,,1,Mollusca,"Gastropoda Cuvier, 1797","Archaeogastropoda Thiele, 1925","Trochidae Rafinesque, 1815","Neomphalius Fischer, 1885",,,f68aab55-9261-49fa-8bf9-e6fe6fa7661b
"Neomphalius excavata (Lamarck, 1822)",,1,Mollusca,"Gastropoda Cuvier, 1797","Archaeogastropoda Thiele, 1925","Trochidae Rafinesque, 1815","Neomphalius Fischer, 1885",,,f68aab55-9261-49fa-8bf9-e6fe6fa7661b
Neomphalius fasciatus Born,,1,Mollusca,"Gastropoda Cuvier, 1797","Archaeogastropoda Thiele, 1925","Trochidae Rafinesque, 1815","Neomphalius Fischer, 1885",,,f68aab55-9261-49fa-8bf9-e6fe6fa7661b
"Neomphalius maculostriata Adams, 1845",,1,Mollusca,"Gastropoda Cuvier, 1797","Archaeogastropoda Thiele, 1925","Trochidae Rafinesque, 1815","Neomphalius Fischer, 1885",,,f68aab55-9261-49fa-8bf9-e6fe6fa7661b
Neomphalius nigerrimus Gmelin,,1,Mollusca,"Gastropoda Cuvier, 1797","Archaeogastropoda Thiele, 1925","Trochidae Rafinesque, 1815","Neomphalius Fischer, 1885",,,f68aab55-9261-49fa-8bf9-e6fe6fa7661b
Neomphalius rubroflammulatus Koch,,1,Mollusca,"Gastropoda Cuvier, 1797","Archaeogastropoda Thiele, 1925","Trochidae Rafinesque, 1815","Neomphalius Fischer, 1885",,,f68aab55-9261-49fa-8bf9-e6fe6fa7661b
Neomphalius scalaris Anton,,1,Mollusca,"Gastropoda Cuvier, 1797","Archaeogastropoda Thiele, 1925","Trochidae Rafinesque, 1815","Neomphalius Fischer, 1885",,,f68aab55-9261-49fa-8bf9-e6fe6fa7661b
Neomycobates tridentatus,ITIS:TSN:742299,1,Arthropoda,Arachnida,Sarcoptiformes,Punctoribatidae,Neomycobates,,,b339f72f-eb69-40c5-b60c-1a37aaffdfb7
Neonesidea schultzi elongata,,1,,,,,,,,e971710e-054e-43f2-b23c-c149d6c76cb4
Neoodax semifaciatus,,1,,,,,,,,9ff216fc-777e-4f9b-9860-95ed7366870d
Leptocepahlus larra,,1,,,,,Leptocepahlus,,,0620ae56-5e20-412e-afd9-77acfa5a663a
"Neopetraeus catamarcanus catamarcanus (Pfeiffer, 1858)",,1,Mollusca,"Gastropoda Cuvier, 1797",Stylommatophora,"Bulimulidae Clessin, 1879","Neopetraeus Von Martens, 1885",,,f68aab55-9261-49fa-8bf9-e6fe6fa7661b
"Neopetraeus decussatus myristicus (Reeve, 1849)",,1,Mollusca,"Gastropoda Cuvier, 1797",Stylommatophora,"Bulimulidae Clessin, 1879","Neopetraeus Von Martens, 1885",,,f68aab55-9261-49fa-8bf9-e6fe6fa7661b
"Neopetraeus filiola huallancaensis W. Weyrauch, 1967",,1,Mollusca,"Gastropoda Cuvier, 1797",Stylommatophora,"Bulimulidae Clessin, 1879","Neopetraeus Von Martens, 1885",,,f68aab55-9261-49fa-8bf9-e6fe6fa7661b
Neophema chrysostoma,,1,Chordata,Aves,,Psittacidae,Neophema,,,4419a6b2-6f4a-4196-86e5-7aac9e525b60
"Neophema elegans (Gould, 1837)",,1,"Chordata Bateson, 1885",Aves,Psittaciformes,Psittacidae,"Neophema Salvadori, 1891",,,e9acab50-8203-4c1e-b2e7-cbb850670808
"Neophema splendida (Gould, 1841)",,1,"Chordata Bateson, 1885",Aves,Psittaciformes,Psittacidae,"Neophema Salvadori, 1891",,,e9acab50-8203-4c1e-b2e7-cbb850670808
"Neophron percnopterus ginginianus (Latham, 1790)",,1,"Chordata Bateson, 1885",Aves,Falconiformes,Accipitridae,"Neophron Savigny, 1809",,,e9acab50-8203-4c1e-b2e7-cbb850670808
"Neopilumnoplax major sakai, 1978",,1,,,,,,,,fa9bc19f-f98a-4278-ab99-c6d8ef4966c7
"Neopsephotus bourkii (Gould, 1841)",,1,"Chordata Bateson, 1885",Aves,Psittaciformes,Psittacidae,"Neopsephotus Mathews, 1912",,,e9acab50-8203-4c1e-b2e7-cbb850670808
Neopymephorus arvorum,http://gni.globalnames.org/?search_term=id:11951577,1,Arthropoda,Arachnida,Acarina,Pyemotidae,Neopymephorus,,,ed62786d-6530-43ad-8dd3-a63527bc5d43
Neopymephorus pannonicus,http://gni.globalnames.org/?search_term=id:11951581,1,Arthropoda,Arachnida,Acarina,Pyemotidae,Neopymephorus,,,ed62786d-6530-43ad-8dd3-a63527bc5d43
Neopymephorus sellnicki,http://gni.globalnames.org/?search_term=id:11951576,1,Arthropoda,Arachnida,Acarina,Pyemotidae,Neopymephorus,,,ed62786d-6530-43ad-8dd3-a63527bc5d43
Neopymephorus togatus,http://gni.globalnames.org/?search_term=id:11951614,1,Arthropoda,Arachnida,Acarina,Pyemotidae,Neopymephorus,,,ed62786d-6530-43ad-8dd3-a63527bc5d43
Neopymephorus tripartitus,http://gni.globalnames.org/?search_term=id:11951580,1,Arthropoda,Arachnida,Acarina,Pyemotidae,Neopymephorus,,,ed62786d-6530-43ad-8dd3-a63527bc5d43
Neoscalpellum dicheloplax,,1,,,,,,,,89e23fc8-3f61-4480-9de3-358fe6eefe0b
"Neostyriaca strobeli (Strobel, 1850)",,1,Mollusca,"Gastropoda Cuvier, 1797",Stylommatophora,"Clausiliidae Draparnaud, 1805","Neostyriaca Wagner, 1920",,,f68aab55-9261-49fa-8bf9-e6fe6fa7661b
Neotaenioglossa sp.,,1,,,,,,,,fa9bc19f-f98a-4278-ab99-c6d8ef4966c7
Neotaenioglossida,,1,,,,,,,,a9a3bdc6-209f-4c66-aafd-ce5271cb63b3
Neotanais krappschickealae,,1,,,,,,,,b1f8bc4c-5427-40c8-8728-aad4d463b944
"Neothais orbita Gmelin, 1791",,1,Mollusca,"Gastropoda Cuvier, 1797","Neogastropoda Wenz, 1938","Muricidae Rafinesque, 1815","Neothais Iredale, 1912",,,f68aab55-9261-49fa-8bf9-e6fe6fa7661b
"Neotis denhami (Children, 1826)",,1,"Chordata Bateson, 1885",Aves,Gruiformes,Otididae,"Neotis Sharpe, 1893",,,e9acab50-8203-4c1e-b2e7-cbb850670808
"Neotragus batesi harrisoni (Thomas, 1906)",,1,"Chordata Bateson, 1885","Mammalia Linnaeus, 1758",Artiodactyla Owen,Bovidae Gray,"Neotragus Hamilton-Smith, 1827",,,94733b9b-61d0-40c3-8577-440dd4cb2c41
"Neotragus moschatus livingstonianus (Kirk, 1865)",,1,"Chordata Bateson, 1885","Mammalia Linnaeus, 1758",Artiodactyla Owen,Bovidae Gray,"Neotragus Hamilton-Smith, 1827",,,94733b9b-61d0-40c3-8577-440dd4cb2c41
Neovermilia sphaeropomatus,,1,,,,,,,,27f7853d-48c4-4365-8b0b-158d8fffb7c7
"Neoxolmis rufiventris (Vieillot, 1823)",,1,"Chordata Bateson, 1885",Aves,Passeriformes,Tyrannidae,"Neoxolmis Hellmayr, 1927",,,e9acab50-8203-4c1e-b2e7-cbb850670808
"Neozonocypris congensis Klie, 1944",,1,Arthropoda,"Ostracoda Latreille, 1802","Podocopida Sars, 1866","Cyprididae Baird, 1845","Neozonocypris Klie, 1944",,,0912e81c-c5ac-4a53-b719-a9ae6535f895
"Neozonocypris globosa Remacle Rome, 1962",,1,Arthropoda,"Ostracoda Latreille, 1802","Podocopida Sars, 1866","Cyprididae Baird, 1845","Neozonocypris Klie, 1944",,,0912e81c-c5ac-4a53-b719-a9ae6535f895
Nephritica poeyanus,,1,,,,,,,,89e23fc8-3f61-4480-9de3-358fe6eefe0b
Nephronaias regalis,,1,,,,,,,,89e23fc8-3f61-4480-9de3-358fe6eefe0b
Nephrops stewarti,,1,,,,,,,,4f46f9d8-dc63-4546-9dd5-075df3d25e4a
"Nephrurus asper Günther, 1876",,1,"Chordata Bateson, 1885","Reptilia Laurenti, 1768","Squamata Oppel, 1811",Gekkonidae,"Nephrurus Günther, 1876",,,a86b3849-dc24-4058-a8a6-7b6fd55a0151
Nephteid,,1,,,,,,,,49f74e10-b23b-4aca-a0f2-62b4f1109dd3
Nephthea compressiformis,,1,Cnidaria,,Alcyonacea,Nephtheidae,Nephthea,,,e00e2de4-7e7a-4fae-a1da-d3b49aefbf08
Nephthea tenuispina,,1,,,,,,,,d0d2a510-ba24-487b-80ca-afc86922cb1c
Nephthytidae,,1,,,,,,,,62079bf3-19fc-4a28-9064-4134b7dbe98b
Nephtysa,,1,,,,,,,,fab2647b-13b6-430d-98f1-31c6d842b372
Nephtys franciscana,,1,,,,,,,,89e23fc8-3f61-4480-9de3-358fe6eefe0b
Nephtys tubarensis,,1,Annelida,Polychaeta,,Nephtyidae,Nephtys,,,97bdf279-6f78-4ed7-ad9d-27a5886f8ff2
Nephytys neotena,,1,,,,,,,,44d02422-9ead-4392-8e0b-39aaefe2ce01
Nephytys sp.,,1,,,,,,,,a28d3c22-183e-4e5e-a9ee-38240fcd4241
"Neptunea carinata Pennant, 1777",,1,Mollusca,"Gastropoda Cuvier, 1797","Neogastropoda Wenz, 1938","Buccinidae Rafinesque, 1815","Neptunea Röding, 1798",,,f68aab55-9261-49fa-8bf9-e6fe6fa7661b
Musculus juvenile,,1,,,,,,,,a9a3bdc6-209f-4c66-aafd-ce5271cb63b3
Neptunus gracilimanus,,1,,,,,,,,81621597-dfd5-4657-b660-ba0f7924a8e3
Musculus juv 2,,1,,,,,,,,a9a3bdc6-209f-4c66-aafd-ce5271cb63b3
Nereimyra aphroditiodes,,1,,,,,,,,14242931-d643-4f29-a505-4d8eab59751b
Musculus dicors,,1,,,,,,,,1d7b68ff-72ec-4a3a-b8e5-0e369c9696a3
Nereiphylla polyphylla,,1,,,,,,,,89e23fc8-3f61-4480-9de3-358fe6eefe0b
Nereis megalops,,1,,,,,,,,89e23fc8-3f61-4480-9de3-358fe6eefe0b
"Muscisaxicola juninensis Taczanowski, 1884",,1,"Chordata Bateson, 1885",Aves,Passeriformes,Tyrannidae,"Muscisaxicola d'Orbigny & Lafresnaye, 1837",,,e9acab50-8203-4c1e-b2e7-cbb850670808
Nereis zonata perisca,,1,,,,,,,,89e23fc8-3f61-4480-9de3-358fe6eefe0b
Nereis zonata persica,,1,,,,,,,,e971710e-054e-43f2-b23c-c149d6c76cb4
Nerita arcitulata,,1,,,,,,,,d0d2a510-ba24-487b-80ca-afc86922cb1c
Nerita auriculata,,1,,,,,,,,23678adb-b175-4352-856d-d43322374cb1
Nerita aurigarum Recluz,,1,Mollusca,"Gastropoda Cuvier, 1797",Neritopsina,"Neritidae Rafinesque, 1815","Nerita Linnaeus, 1758",,,f68aab55-9261-49fa-8bf9-e6fe6fa7661b
Nerita chamaeleon var. squamulata Recluz,,1,Mollusca,"Gastropoda Cuvier, 1797",Neritopsina,"Neritidae Rafinesque, 1815","Nerita Linnaeus, 1758",,,f68aab55-9261-49fa-8bf9-e6fe6fa7661b
Nerita fulgurans praecognita Unknown,,1,Mollusca,"Gastropoda Cuvier, 1797",Neritopsina,"Neritidae Rafinesque, 1815","Nerita Linnaeus, 1758",,,f68aab55-9261-49fa-8bf9-e6fe6fa7661b
Nerita harmandi Unknown,,1,Mollusca,"Gastropoda Cuvier, 1797",Neritopsina,"Neritidae Rafinesque, 1815","Nerita Linnaeus, 1758",,,f68aab55-9261-49fa-8bf9-e6fe6fa7661b
Nerita janthostoma,,1,,,,,,,,73b8993b-0afd-49c0-8321-7cbbc112801d
"Nerita luteofasciatus Miller, 1879",,1,Mollusca,"Gastropoda Cuvier, 1797",Neritopsina,"Neritidae Rafinesque, 1815","Nerita Linnaeus, 1758",,,f68aab55-9261-49fa-8bf9-e6fe6fa7661b
Nerita nigerrima var. achatina Reeve,,1,Mollusca,"Gastropoda Cuvier, 1797",Neritopsina,"Neritidae Rafinesque, 1815","Nerita Linnaeus, 1758",,,f68aab55-9261-49fa-8bf9-e6fe6fa7661b
Nerita polita var. pennata Deshayes,,1,Mollusca,"Gastropoda Cuvier, 1797",Neritopsina,"Neritidae Rafinesque, 1815","Nerita Linnaeus, 1758",,,f68aab55-9261-49fa-8bf9-e6fe6fa7661b
Nerita pulligera knorri,,1,,,,,,,,23678adb-b175-4352-856d-d43322374cb1
"Nerita pupa tristis d'Orbigny, 1842",,1,Mollusca,"Gastropoda Cuvier, 1797",Neritopsina,"Neritidae Rafinesque, 1815","Nerita Linnaeus, 1758",,,f68aab55-9261-49fa-8bf9-e6fe6fa7661b
Nerita puperita Unknown,,1,Mollusca,"Gastropoda Cuvier, 1797",Neritopsina,"Neritidae Rafinesque, 1815","Nerita Linnaeus, 1758",,,f68aab55-9261-49fa-8bf9-e6fe6fa7661b
Nerita undata var. antillarum Gmelin,,1,Mollusca,"Gastropoda Cuvier, 1797",Neritopsina,"Neritidae Rafinesque, 1815","Nerita Linnaeus, 1758",,,f68aab55-9261-49fa-8bf9-e6fe6fa7661b
Nerita undata var. chrysostoma Recluz,,1,Mollusca,"Gastropoda Cuvier, 1797",Neritopsina,"Neritidae Rafinesque, 1815","Nerita Linnaeus, 1758",,,f68aab55-9261-49fa-8bf9-e6fe6fa7661b
Nerita undata var. funiculata Reeve,,1,Mollusca,"Gastropoda Cuvier, 1797",Neritopsina,"Neritidae Rafinesque, 1815","Nerita Linnaeus, 1758",,,f68aab55-9261-49fa-8bf9-e6fe6fa7661b
Nerita undata var. leguillouana Recluz,,1,Mollusca,"Gastropoda Cuvier, 1797",Neritopsina,"Neritidae Rafinesque, 1815","Nerita Linnaeus, 1758",,,f68aab55-9261-49fa-8bf9-e6fe6fa7661b
"Nerita undata var. spengleriana Recluz, 1843",,1,Mollusca,"Gastropoda Cuvier, 1797",Neritopsina,"Neritidae Rafinesque, 1815","Nerita Linnaeus, 1758",,,f68aab55-9261-49fa-8bf9-e6fe6fa7661b
Neritina bicolor var. elephas,,1,Mollusca,"Gastropoda Cuvier, 1797",Neritopsina,"Neritidae Rafinesque, 1815","Neritina Lamarck, 1816",,,f68aab55-9261-49fa-8bf9-e6fe6fa7661b
"Neritina bicolor var. tricolor Von Martens, 1878",,1,Mollusca,"Gastropoda Cuvier, 1797",Neritopsina,"Neritidae Rafinesque, 1815","Neritina Lamarck, 1816",,,f68aab55-9261-49fa-8bf9-e6fe6fa7661b
Neritina brevispina var. angulosa Reeve,,1,Mollusca,"Gastropoda Cuvier, 1797",Neritopsina,"Neritidae Rafinesque, 1815","Neritina Lamarck, 1816",,,f68aab55-9261-49fa-8bf9-e6fe6fa7661b
"Muscisaxicola fluviatilis Sclater & Salvin, 1866",,1,"Chordata Bateson, 1885",Aves,Passeriformes,Tyrannidae,"Muscisaxicola d'Orbigny & Lafresnaye, 1837",,,e9acab50-8203-4c1e-b2e7-cbb850670808
Neritina cornea var. chimnoi Reeve,,1,Mollusca,"Gastropoda Cuvier, 1797",Neritopsina,"Neritidae Rafinesque, 1815","Neritina Lamarck, 1816",,,f68aab55-9261-49fa-8bf9-e6fe6fa7661b
Neritina cornea var. subsulcata Sowerby,,1,Mollusca,"Gastropoda Cuvier, 1797",Neritopsina,"Neritidae Rafinesque, 1815","Neritina Lamarck, 1816",,,f68aab55-9261-49fa-8bf9-e6fe6fa7661b
Neritina crepidularia var. siquijorensis Recluz,,1,Mollusca,"Gastropoda Cuvier, 1797",Neritopsina,"Neritidae Rafinesque, 1815","Neritina Lamarck, 1816",,,f68aab55-9261-49fa-8bf9-e6fe6fa7661b
Neritina diadema var. celebensis Mousson,,1,Mollusca,"Gastropoda Cuvier, 1797",Neritopsina,"Neritidae Rafinesque, 1815","Neritina Lamarck, 1816",,,f68aab55-9261-49fa-8bf9-e6fe6fa7661b
Neritina fluviatilis var. croatica Parreyss,,1,Mollusca,"Gastropoda Cuvier, 1797",Neritopsina,"Neritidae Rafinesque, 1815","Neritina Lamarck, 1816",,,f68aab55-9261-49fa-8bf9-e6fe6fa7661b
Neritina fluviatilis var. intexta Villa,,1,Mollusca,"Gastropoda Cuvier, 1797",Neritopsina,"Neritidae Rafinesque, 1815","Neritina Lamarck, 1816",,,f68aab55-9261-49fa-8bf9-e6fe6fa7661b
Neritina fluviatilis var. pustulata Parreyss,,1,Mollusca,"Gastropoda Cuvier, 1797",Neritopsina,"Neritidae Rafinesque, 1815","Neritina Lamarck, 1816",,,f68aab55-9261-49fa-8bf9-e6fe6fa7661b
Neritina fluviatilis var. rhodocolpos,,1,Mollusca,"Gastropoda Cuvier, 1797",Neritopsina,"Neritidae Rafinesque, 1815","Neritina Lamarck, 1816",,,f68aab55-9261-49fa-8bf9-e6fe6fa7661b
Neritina fluviatilis var. spirata,,1,Mollusca,"Gastropoda Cuvier, 1797",Neritopsina,"Neritidae Rafinesque, 1815","Neritina Lamarck, 1816",,,f68aab55-9261-49fa-8bf9-e6fe6fa7661b
Neritina fluviatilis var. trifasciata Menke,,1,Mollusca,"Gastropoda Cuvier, 1797",Neritopsina,"Neritidae Rafinesque, 1815","Neritina Lamarck, 1816",,,f68aab55-9261-49fa-8bf9-e6fe6fa7661b
Neritina homsiana Pilsbry,,1,Mollusca,"Gastropoda Cuvier, 1797",Neritopsina,"Neritidae Rafinesque, 1815","Neritina Lamarck, 1816",,,f68aab55-9261-49fa-8bf9-e6fe6fa7661b
Neritina interposita Michaud,,1,Mollusca,"Gastropoda Cuvier, 1797",Neritopsina,"Neritidae Rafinesque, 1815","Neritina Lamarck, 1816",,,f68aab55-9261-49fa-8bf9-e6fe6fa7661b
Neritina intertexta Villa,,1,Mollusca,"Gastropoda Cuvier, 1797",Neritopsina,"Neritidae Rafinesque, 1815","Neritina Lamarck, 1816",,,f68aab55-9261-49fa-8bf9-e6fe6fa7661b
Neritina intexta,,1,Mollusca,"Gastropoda Cuvier, 1797",Neritopsina,"Neritidae Rafinesque, 1815","Neritina Lamarck, 1816",,,f68aab55-9261-49fa-8bf9-e6fe6fa7661b
"Neritina jordani var. aberrans Dautzenberg, 1894",,1,Mollusca,"Gastropoda Cuvier, 1797",Neritopsina,"Neritidae Rafinesque, 1815","Neritina Lamarck, 1816",,,f68aab55-9261-49fa-8bf9-e6fe6fa7661b
Neritina lacustris,,1,Mollusca,"Gastropoda Cuvier, 1797",Neritopsina,"Neritidae Rafinesque, 1815","Neritina Lamarck, 1816",,,f68aab55-9261-49fa-8bf9-e6fe6fa7661b
Neritina longispina var. mauritiana Morelet,,1,Mollusca,"Gastropoda Cuvier, 1797",Neritopsina,"Neritidae Rafinesque, 1815","Neritina Lamarck, 1816",,,f68aab55-9261-49fa-8bf9-e6fe6fa7661b
